 Region , Type , Accounts ,  FY24_BOY  ,  Q324_Actuals ,  YTD_RR_Growth ,  Q4_Renewal_RR , Q4_Delayed_Ship_Adj , Q4_Renewal_Growth ,  Projected_FY24_EOY_RR , Projected_FY24_RR_Growth 
 NA , N , NA1 ,6469.86,8011.80,0.24,204.00,0.00,0.10,8032.20,0.24
 NA , N , NA2 ,4564.64,4907.23,0.08,0.00,0.00,0.10,4907.23,0.08
 NA , N , NA3 ,18.38,197.58,9.75,0.00,0.00,0.10,197.58,9.75
 NA , N , NA4 ,4433.68,4437.89,0.00,3231.33,0.00,0.10,4761.03,0.07
 NA , N , NA5 ,15838.56,19043.73,0.20,14.05,0.00,0.10,19045.13,0.20
 NA , N , NA6 ,10874.15,7224.96,-0.34,366.17,0.00,0.10,7261.58,-0.33
 NA , N , NA7 ,5610.16,5391.21,-0.04,0.00,0.00,0.10,5391.21,-0.04
 NA , N , NA8 ,16401.01,15946.26,-0.03,0.00,0.00,0.10,15946.26,-0.03
 NA , T , NA9 ,6839.09,6781.58,-0.01,554.09,0.00,0.10,6836.99,0.00
 NA , T , NA10 ,4902.29,6689.01,0.36,194.68,0.00,0.10,6708.48,0.37
 CN , N , CN1 ,1666.67,4208.36,1.53,0.00,0.00,0.10,4208.36,1.53
 CN , N , CN2 ,1893.98,2140.32,0.13,0.00,0.00,0.10,2140.32,0.13
 CN , N , CN3 ,2420.23,2655.69,0.10,0.00,0.00,0.10,2655.69,0.10
 CN , N , CN4 ,686.17,1845.82,1.69,0.00,0.00,0.10,1845.82,1.69
 CN , N , CN5 ,3229.43,2997.28,-0.07,0.00,0.00,0.10,2997.28,-0.07
 CN , N , CN6 ,1407.67,954.14,-0.32,418.36,0.00,0.10,995.98,-0.29
 CN , N , CN7 ,1584.40,885.93,-0.44,268.56,0.00,0.10,912.79,-0.42
 CN , N , CN8 ,2885.11,3094.14,0.07,1543.88,1508.56,0.10,3248.53,0.13
 CN , T , CN9 ,26259.79,27596.74,0.05,4522.40,1328.74,0.10,28048.98,0.07
 EU , N , EU1 ,14531.00,14316.98,-0.01,494.40,2767.69,0.10,16590.27,0.14
 EU , N , EU2 ,8753.36,8255.25,-0.06,1221.00,0.00,0.10,8377.35,-0.04
 EU , N , EU3 ,2017.49,1882.51,-0.07,0.00,0.00,0.10,1882.51,-0.07
 EU , N , EU4 ,17213.51,18310.04,0.06,0.00,11.50,0.10,18321.53,0.06
 EU , N , EU5 ,1937.96,2260.05,0.17,0.00,0.00,0.10,2260.05,0.17
 EU , N , EU6 ,14289.67,14067.67,-0.02,0.00,0.00,0.10,14067.67,-0.02
 EU , N , EU7 ,4100.01,4100.00,0.00,0.00,0.00,0.10,4100.00,0.00
 EU , N , EU8 ,4000.00,4000.00,0.00,0.00,0.00,0.10,4000.00,0.00
 EU , T , EU9 ,17119.16,21638.16,0.26,2289.37,22.66,0.10,21867.10,0.28
 JP , N , JP1 ,14531.00,14316.98,-0.01,494.40,2767.69,0.10,16590.27,0.14
 JP , N , JP2 ,8753.36,8255.25,-0.06,1221.00,0.00,0.10,8377.35,-0.04
 JP , N , JP3 ,2017.49,1882.51,-0.07,0.00,0.00,0.10,1882.51,-0.07
 JP , N , JP4 ,17213.51,18310.04,0.06,0.00,11.50,0.10,18321.53,0.06
 JP , N , JP5 ,1937.96,2260.05,0.17,0.00,0.00,0.10,2260.05,0.17
 JP , N , JP6 ,14289.67,14067.67,-0.02,0.00,0.00,0.10,14067.67,-0.02
 JP , N , JP7 ,4100.01,4100.00,0.00,0.00,0.00,0.10,4100.00,0.00
 JP , N , JP8 ,4000.00,4000.00,0.00,0.00,0.00,0.10,4000.00,0.00
 JP , T , JP9 ,17119.16,21638.16,0.26,2289.37,22.66,0.10,21867.10,0.28
